,id,size
1065,137669741,
1066,139922585,
1067,139474715,
1068,131030711,
1069,139733657,
1070,139474718,
1071,137154080,
1072,139463837,
1073,139448375,
1074,139621574,
1075,138784613,
1076,86156034,
1077,136491806,
1078,137679686,
1079,139528739,
1080,139487192,
1081,135649244,
1082,138056945,
1083,139269887,
1084,139772975,
1085,138129920,
1086,138908786,
1087,139265312,
1088,139579850,
1089,134961068,
1090,139345376,
1091,139378112,
1092,139452728,
1093,138604742,
1094,136091633,
1095,138795179,
1096,139774850,
1097,139967261,
1098,86284212,
1099,137722874,
1100,138118049,
1101,139464974,
1102,139882787,
1103,139656356,
1104,139689221,
1105,139226768,
1106,139115780,
1107,134871026,
1108,139451702,
1109,139776683,
1110,139032212,
1111,139415276,
1112,139411874,
1113,139347740,
1114,138133886,
1115,139271351,
1116,139332782,
1117,140003294,
1118,139384295,
1119,139451993,
1120,139874597,
1121,139471736,
1122,139677560,
1123,139530770,
1124,137472941,
1125,139717091,
1126,139394579,
1127,140028908,
1128,138648110,
1129,131074136,
1130,139564610,
1131,135708824,
1132,136901498,
1133,139850861,
1134,139459622,
1135,139859294,
1136,139314635,
1137,134122424,
1138,139885952,
1139,139416095,
1140,138698771,
1141,137758142,
1142,139802255,
1143,133939244,
1144,136325840,
1145,139619702,
1146,137643764,
1147,139594397,
1148,138566408,
1149,139470269,
1150,139530395,
1151,139862801,
1152,138721787,
1153,139707404,
1154,139359926,
1155,139904003,
1156,139465982,
1157,139622318,
1158,137554493,
1159,136898993,
1160,137201174,
1161,131997401,
1162,139696874,
1163,138804416,
1164,137969330,
1165,138725954,
1166,140004170,
1167,135334214,
1168,139304759,
1169,139476269,
1170,139264892,
1171,138882731,
1172,139938479,
1173,139917113,
1174,139535435,
1175,137586242,
1176,136987430,
1177,136503374,
1178,86033298,
1179,136980449,
1180,139738580,
1181,140010857,
1182,139901132,
1183,138569414,
1184,139910195,
1185,139640243,
1186,134458643,
1187,139691198,
1188,139343531,
1189,139979867,
1190,131959277,
1191,136750961,
1192,139480967,
1193,135890294,
1194,139376900,
1195,139978793,
1196,135332348,
1197,139446266,
1198,139610891,
1199,139299227,
1200,139530392,
1201,134975315,
1202,139471313,
1203,140030825,
1204,139376384,
1205,139780418,
